time,LF,LH,RF,RH,step_freq,center_x,center_y
2025-06-01 00:00:00,15.1,16.7,18.4,14.9,51.0,-1.87,17.63
2025-06-01 00:00:05,11.6,13.6,11.6,11.6,51.5,6.74,-16.69
2025-06-01 00:00:10,17.3,16.4,19.1,16.6,46.6,-16.29,11.99
2025-06-01 00:00:15,15.0,12.0,13.7,15.0,49.5,-5.95,-0.79
2025-06-01 00:00:20,13.2,12.5,17.5,13.7,48.8,-3.49,6.07
2025-06-01 00:00:25,18.3,14.0,15.2,18.3,47.6,1.33,3.38
2025-06-01 00:00:30,14.0,11.7,13.2,13.7,49.8,5.14,6.49
2025-06-01 00:00:35,18.8,17.4,16.8,19.4,46.5,11.43,11.31
2025-06-01 00:00:40,17.0,18.2,19.5,16.6,48.3,3.39,-7.74
2025-06-01 00:00:45,14.2,15.3,12.4,14.6,47.6,-1.91,-6.54
2025-06-01 00:00:50,15.4,12.3,15.5,7.1,50.7,11.54,0.1
2025-06-01 00:00:55,18.5,14.4,17.9,19.1,49.4,16.7,-5.24
2025-06-01 00:01:00,11.4,14.3,13.1,11.4,48.4,7.46,-2.93
2025-06-01 00:01:05,13.1,13.9,13.7,11.6,51.9,7.35,1.61
2025-06-01 00:01:10,17.9,15.5,17.5,17.7,50.0,-2.29,-4.11
2025-06-01 00:01:15,21.1,17.7,17.8,17.2,50.8,-15.67,-5.2
2025-06-01 00:01:20,18.0,12.7,13.7,13.0,50.1,-13.77,11.48
2025-06-01 00:01:25,15.0,11.6,16.2,10.6,51.5,3.57,22.39
2025-06-01 00:01:30,14.9,16.3,15.1,13.0,48.0,1.44,-3.58
2025-06-01 00:01:35,10.9,15.9,11.2,12.1,50.9,2.18,-12.35
2025-06-01 00:01:40,20.0,14.2,17.8,17.9,50.5,8.97,-5.7
2025-06-01 00:01:45,19.3,18.8,18.7,18.9,47.4,-8.9,5.47
2025-06-01 00:01:50,10.9,16.0,13.3,9.9,50.6,0.26,-8.07
2025-06-01 00:01:55,14.6,10.7,14.2,13.1,51.6,2.54,18.13
2025-06-01 00:02:00,10.8,10.5,10.7,12.2,49.5,3.31,7.18
2025-06-01 00:02:05,17.6,20.5,17.0,23.0,51.7,1.74,-10.64
2025-06-01 00:02:10,16.3,14.9,16.7,16.3,47.9,-5.26,-8.53
2025-06-01 00:02:15,11.7,14.3,13.0,10.1,47.0,-3.18,1.04
2025-06-01 00:02:20,14.1,13.9,11.5,14.5,48.2,3.18,3.84
2025-06-01 00:02:25,13.4,14.3,17.2,17.2,52.1,1.9,35.3
2025-06-01 00:02:30,20.1,19.8,19.2,17.2,51.1,2.11,-3.13
2025-06-01 00:02:35,16.7,17.9,22.3,14.0,49.5,3.74,-8.22
2025-06-01 00:02:40,14.8,12.7,10.4,11.2,49.1,0.87,-3.82
2025-06-01 00:02:45,16.8,15.4,21.0,18.0,50.4,-20.86,-0.33
2025-06-01 00:02:50,16.1,12.8,14.2,15.4,48.7,4.42,-5.27
2025-06-01 00:02:55,12.6,12.3,17.1,14.4,49.3,-13.46,11.03
2025-06-01 00:03:00,15.6,10.5,12.6,16.1,54.2,-10.63,3.02
2025-06-01 00:03:05,16.5,18.2,11.8,16.3,51.5,-3.76,-5.29
2025-06-01 00:03:10,10.0,12.0,13.1,15.7,53.3,-15.9,6.95
2025-06-01 00:03:15,11.2,14.1,13.6,12.0,50.0,-1.47,-7.65
2025-06-01 00:03:20,14.3,16.1,10.5,17.2,50.2,-13.3,-5.65
2025-06-01 00:03:25,13.2,11.4,12.3,11.7,51.2,-8.69,9.82
2025-06-01 00:03:30,17.1,20.2,19.1,20.1,50.7,5.07,-11.63
2025-06-01 00:03:35,14.7,14.4,13.2,13.5,48.9,14.3,-1.85
2025-06-01 00:03:40,12.2,12.1,14.8,14.2,51.1,10.64,7.62
2025-06-01 00:03:45,14.5,12.5,13.7,12.8,50.0,-3.4,2.02
2025-06-01 00:03:50,19.4,13.2,12.8,17.6,48.4,9.43,1.07
2025-06-01 00:03:55,14.4,12.7,14.6,13.1,51.3,2.8,-1.01
2025-06-01 00:04:00,11.7,13.2,11.2,10.7,48.3,4.99,-2.01
2025-06-01 00:04:05,11.8,13.2,9.8,9.9,49.0,-4.91,3.22
2025-06-01 00:04:10,17.0,15.8,13.8,14.0,50.6,-10.31,4.3
2025-06-01 00:04:15,17.3,15.0,17.7,19.8,49.4,0.57,8.0
