time,LF,LH,RF,RH,step_freq,center_x,center_y
2025-06-01 00:00:00,15.9,17.5,19.2,15.7,60.5,-1.87,17.63
2025-06-01 00:00:05,12.2,14.3,12.3,12.3,61.0,4.51,-11.02
2025-06-01 00:00:10,15.3,14.4,17.1,14.7,56.1,-7.11,9.0
2025-06-01 00:00:15,19.0,16.0,17.7,19.0,59.0,-14.19,3.39
2025-06-01 00:00:20,17.4,16.8,21.7,18.0,58.3,-6.42,2.02
2025-06-01 00:00:25,13.5,9.1,10.4,13.4,57.1,0.97,2.13
2025-06-01 00:00:30,12.4,10.1,11.6,12.1,59.3,4.72,-0.57
2025-06-01 00:00:35,19.9,18.5,17.9,20.5,56.0,4.18,4.55
2025-06-01 00:00:40,18.0,19.3,20.6,17.7,57.8,-2.96,-13.63
2025-06-01 00:00:45,14.9,16.0,13.1,15.2,57.1,-1.48,-2.73
2025-06-01 00:00:50,19.0,15.9,19.1,10.7,60.2,11.17,2.66
2025-06-01 00:00:55,14.6,10.4,14.0,15.1,58.9,11.62,0.85
2025-06-01 00:01:00,18.3,21.2,20.0,18.3,57.9,0.75,4.49
2025-06-01 00:01:05,13.0,13.8,13.6,11.5,61.4,0.61,-2.59
2025-06-01 00:01:10,16.7,14.4,16.4,16.5,59.5,-4.25,-5.8
2025-06-01 00:01:15,19.9,16.5,16.7,16.0,60.3,-12.05,-3.97
2025-06-01 00:01:20,18.5,13.2,14.2,13.5,59.6,-9.16,4.15
2025-06-01 00:01:25,14.5,11.1,15.8,10.2,61.0,7.04,13.11
2025-06-01 00:01:30,11.8,13.2,12.0,9.9,57.5,5.47,-9.39
2025-06-01 00:01:35,17.6,22.5,17.9,18.8,60.4,1.68,-11.15
2025-06-01 00:01:40,17.0,11.1,14.7,14.9,60.0,3.98,-5.44
2025-06-01 00:01:45,14.5,14.0,13.9,14.1,56.9,-5.55,-3.14
2025-06-01 00:01:50,14.1,19.3,16.5,13.2,60.1,9.44,-5.06
2025-06-01 00:01:55,16.1,12.2,15.8,14.7,61.1,8.38,19.84
2025-06-01 00:02:00,11.5,11.3,11.4,12.9,59.0,3.31,7.18
2025-06-01 00:02:05,19.4,22.3,18.9,24.8,61.2,7.82,-10.99
2025-06-01 00:02:10,14.0,12.6,14.4,14.0,57.4,4.35,-7.59
2025-06-01 00:02:15,18.5,21.1,19.8,16.9,56.5,3.17,7.75
2025-06-01 00:02:20,17.7,17.5,15.1,18.1,57.7,-0.35,7.38
2025-06-01 00:02:25,10.4,11.3,14.2,14.2,61.6,0.81,34.57
2025-06-01 00:02:30,20.8,20.5,19.8,17.9,60.6,3.02,-10.14
2025-06-01 00:02:35,18.4,19.6,24.0,15.7,59.0,5.97,-17.88
2025-06-01 00:02:40,15.8,13.7,11.4,12.2,58.6,9.48,-2.9
2025-06-01 00:02:45,19.5,18.1,23.7,20.7,59.9,-20.78,3.49
2025-06-01 00:02:50,21.1,17.8,19.2,20.4,58.2,2.59,-7.11
2025-06-01 00:02:55,18.3,17.9,22.7,20.0,58.8,-12.78,3.13
2025-06-01 00:03:00,19.5,14.4,16.5,20.0,63.7,-0.69,4.09
2025-06-01 00:03:05,13.5,15.2,8.9,13.3,61.0,2.96,-9.52
2025-06-01 00:03:10,10.9,12.9,14.1,16.7,62.8,-16.48,9.47
2025-06-01 00:03:15,11.1,14.0,13.4,11.8,59.5,2.35,-7.75
2025-06-01 00:03:20,14.5,16.4,10.7,17.5,59.7,-12.93,3.01
2025-06-01 00:03:25,16.7,14.8,15.7,15.1,60.7,-0.09,4.9
2025-06-01 00:03:30,14.0,17.2,16.0,17.0,60.2,0.04,-6.66
2025-06-01 00:03:35,20.8,20.5,19.3,19.6,58.4,14.91,-3.0
2025-06-01 00:03:40,18.3,18.3,20.9,20.3,60.6,11.01,12.61
2025-06-01 00:03:45,16.8,14.8,16.1,15.2,59.5,5.67,3.75
2025-06-01 00:03:50,23.5,17.3,16.8,21.6,57.9,1.69,6.84
2025-06-01 00:03:55,13.9,12.1,14.0,12.5,60.8,6.67,3.69
2025-06-01 00:04:00,12.7,14.2,12.2,11.7,57.8,4.99,-2.01
2025-06-01 00:04:05,15.4,16.8,13.5,13.6,58.5,-10.29,0.37
2025-06-01 00:04:10,16.8,15.5,13.5,13.8,60.1,-8.26,-5.14
2025-06-01 00:04:15,14.3,12.0,14.7,16.7,58.9,1.5,-1.19
2025-06-01 00:04:20,15.1,16.4,16.0,16.1,60.9,-10.78,2.17
2025-06-01 00:04:25,18.6,17.6,20.0,14.2,60.5,11.63,3.29
2025-06-01 00:04:30,11.3,11.3,11.8,8.7,63.9,-2.91,-10.9
2025-06-01 00:04:35,14.6,17.7,15.8,12.8,59.8,-4.59,8.21
2025-06-01 00:04:40,23.1,21.8,18.5,16.0,56.9,14.98,-3.71
2025-06-01 00:04:45,10.4,12.4,13.6,13.7,62.0,-0.28,1.25
2025-06-01 00:04:50,18.2,18.8,19.6,20.0,57.4,-4.01,-12.68
2025-06-01 00:04:55,15.7,13.5,18.1,15.3,62.1,12.51,4.48
2025-06-01 00:05:00,17.1,16.5,12.5,14.9,0.0,5.16,15.95
