time,LF,LH,RF,RH,step_freq,center_x,center_y
2025-06-01 00:00:00,16.3,17.8,19.6,16.1,52.0,-1.87,17.63
2025-06-01 00:00:05,12.5,14.5,12.5,12.5,52.5,5.41,-18.91
2025-06-01 00:00:10,18.7,17.8,20.5,18.0,47.6,-13.57,16.18
2025-06-01 00:00:15,16.9,13.9,15.7,17.0,50.5,-13.0,-0.25
2025-06-01 00:00:20,13.4,12.8,17.7,13.9,49.8,-11.39,2.53
2025-06-01 00:00:25,20.2,15.9,17.1,20.2,48.6,10.88,1.92
2025-06-01 00:00:30,16.8,14.4,15.9,16.5,50.8,11.78,-0.99
2025-06-01 00:00:35,19.0,17.6,17.0,19.6,47.5,3.56,5.7
2025-06-01 00:00:40,19.2,20.5,21.8,18.9,49.3,-4.88,-5.18
2025-06-01 00:00:45,15.0,16.1,13.3,15.4,48.6,4.27,-9.97
2025-06-01 00:00:50,17.1,13.9,17.1,8.8,51.7,9.57,4.7
2025-06-01 00:00:55,19.4,15.2,18.7,19.9,50.4,16.6,-2.66
2025-06-01 00:01:00,13.0,15.8,14.7,12.9,49.4,7.46,-2.93
2025-06-01 00:01:05,17.5,18.3,18.1,16.0,52.9,6.44,-0.82
2025-06-01 00:01:10,16.7,14.3,16.3,16.5,51.0,-6.79,-6.28
2025-06-01 00:01:15,23.4,20.0,20.2,19.5,51.8,-20.34,0.11
2025-06-01 00:01:20,18.8,13.5,14.5,13.8,51.1,-5.12,11.81
2025-06-01 00:01:25,15.3,11.9,16.5,10.9,52.5,8.11,13.87
2025-06-01 00:01:30,12.3,13.6,12.4,10.3,49.0,-0.34,-13.42
2025-06-01 00:01:35,16.5,21.4,16.8,17.7,51.9,11.51,-9.84
2025-06-01 00:01:40,16.5,10.7,14.3,14.4,51.5,1.26,-9.64
2025-06-01 00:01:45,18.2,17.8,17.7,17.9,48.4,-9.05,-1.6
2025-06-01 00:01:50,16.2,21.3,18.6,15.2,51.6,2.99,-12.26
2025-06-01 00:01:55,19.6,15.7,19.3,18.2,52.6,1.61,15.71
2025-06-01 00:02:00,16.6,16.3,16.5,17.9,50.5,3.31,7.18
2025-06-01 00:02:05,17.4,20.3,16.9,22.8,52.7,0.28,-8.5
2025-06-01 00:02:10,14.8,13.4,15.3,14.8,48.9,-4.45,-3.6
2025-06-01 00:02:15,18.6,21.2,20.0,17.0,48.0,-0.65,7.65
2025-06-01 00:02:20,20.1,19.9,17.5,20.5,49.2,0.96,12.21
2025-06-01 00:02:25,15.3,16.1,19.1,19.1,53.1,8.28,28.05
2025-06-01 00:02:30,15.5,15.1,14.5,12.6,52.1,10.03,-9.23
2025-06-01 00:02:35,12.3,13.4,17.9,9.5,50.5,4.66,-17.83
2025-06-01 00:02:40,22.0,20.0,17.7,18.4,50.1,5.97,-10.81
2025-06-01 00:02:45,16.4,15.0,20.6,17.6,51.4,-14.38,-3.16
2025-06-01 00:02:50,20.2,16.9,18.2,19.5,49.7,1.93,-9.61
2025-06-01 00:02:55,18.1,17.7,22.6,19.9,50.3,-14.85,8.85
2025-06-01 00:03:00,20.9,15.8,17.9,21.4,55.2,-10.63,3.02
2025-06-01 00:03:05,11.5,13.2,6.8,11.3,52.5,-1.18,-5.05
2025-06-01 00:03:10,16.4,18.4,19.5,22.1,54.3,-15.73,11.95
2025-06-01 00:03:15,16.7,19.6,19.0,17.5,51.0,-4.01,-1.05
2025-06-01 00:03:20,20.8,22.7,17.0,23.8,51.2,-20.61,-1.0
