time,LF,LH,RF,RH,step_freq,center_x,center_y
2025-06-01 00:00:00,18.0,19.5,21.3,17.8,60.0,-1.87,17.63
2025-06-01 00:00:05,13.9,15.9,13.9,13.9,60.5,3.32,-10.5
2025-06-01 00:00:10,17.7,16.8,19.5,17.0,55.6,-6.31,11.46
2025-06-01 00:00:15,21.6,18.6,20.4,21.7,58.5,-13.0,-0.25
2025-06-01 00:00:20,19.1,18.5,23.4,19.7,57.8,-3.49,6.07
2025-06-01 00:00:25,15.0,10.7,11.9,15.0,56.6,3.89,-3.21
2025-06-01 00:00:30,14.4,12.0,13.5,14.1,58.8,11.78,-0.99
2025-06-01 00:00:35,21.9,20.4,19.9,22.4,55.5,12.1,4.27
2025-06-01 00:00:40,19.4,20.7,22.0,19.1,57.3,3.39,-7.74
2025-06-01 00:00:45,16.2,17.3,14.5,16.6,56.6,4.27,-9.97
2025-06-01 00:00:50,19.6,16.4,19.6,11.3,59.7,1.61,1.29
2025-06-01 00:00:55,18.0,13.8,17.3,18.5,58.4,10.73,-9.02
2025-06-01 00:01:00,20.0,22.8,21.6,19.9,57.4,7.46,-2.93
2025-06-01 00:01:05,16.7,17.4,17.3,15.2,60.9,2.85,7.07
2025-06-01 00:01:10,16.8,14.4,16.4,16.6,59.0,-10.55,1.53
2025-06-01 00:01:15,19.8,16.4,16.6,15.9,59.8,-20.34,0.11
2025-06-01 00:01:20,22.1,16.8,17.8,17.1,59.1,-13.77,11.48
2025-06-01 00:01:25,17.0,13.6,18.2,12.6,60.5,-0.18,16.4
2025-06-01 00:01:30,14.8,16.1,14.9,12.8,57.0,-0.34,-13.42
2025-06-01 00:01:35,18.7,23.6,18.9,19.9,59.9,4.0,-5.52
2025-06-01 00:01:40,17.2,11.4,15.0,15.2,59.5,8.97,-5.7
2025-06-01 00:01:45,15.8,15.4,15.3,15.5,56.4,-9.05,-1.6
2025-06-01 00:01:50,19.2,24.4,21.6,18.3,59.6,10.24,-7.52
2025-06-01 00:01:55,21.1,17.1,20.7,19.6,60.6,9.53,19.21
2025-06-01 00:02:00,14.2,13.9,14.1,15.5,58.5,3.31,7.18
2025-06-01 00:02:05,20.6,23.5,20.1,26.0,60.7,8.79,-10.12
2025-06-01 00:02:10,16.9,15.5,17.4,16.9,56.9,4.1,-5.02
2025-06-01 00:02:15,18.3,20.9,19.6,16.7,56.0,-0.65,7.65
2025-06-01 00:02:20,22.2,22.0,19.6,22.6,57.2,3.18,3.84
2025-06-01 00:02:25,15.4,16.3,19.2,19.2,61.1,-0.36,28.6
2025-06-01 00:02:30,19.0,18.6,18.0,16.1,60.1,10.03,-9.23
2025-06-01 00:02:35,18.7,19.8,24.3,15.9,58.5,10.17,-11.15
2025-06-01 00:02:40,17.6,15.6,13.3,14.0,58.1,0.87,-3.82
2025-06-01 00:02:45,18.6,17.2,22.8,19.8,59.4,-14.38,-3.16
2025-06-01 00:02:50,20.2,16.9,18.2,19.5,57.7,9.43,-13.93
2025-06-01 00:02:55,19.0,18.6,23.5,20.8,58.3,-6.4,10.72
2025-06-01 00:03:00,23.8,18.7,20.7,24.2,63.2,-10.63,3.02
2025-06-01 00:03:05,12.8,14.6,8.2,12.6,60.5,-6.71,-11.72
2025-06-01 00:03:10,17.9,19.9,21.0,23.6,62.3,-7.08,11.66
2025-06-01 00:03:15,15.6,18.5,18.0,16.4,59.0,-4.01,-1.05
2025-06-01 00:03:20,21.3,23.2,17.5,24.3,59.2,-13.3,-5.65
2025-06-01 00:03:25,15.2,13.4,14.2,13.7,60.2,-7.74,2.82
2025-06-01 00:03:30,20.5,23.7,22.5,23.5,59.7,5.01,-1.63
