time,LF,LH,RF,RH,step_freq,center_x,center_y
2025-06-01 00:00:00,13.3,14.9,16.7,13.2,53.5,-1.87,17.63
2025-06-01 00:00:05,10.0,12.0,10.0,10.0,54.0,1.84,-20.31
2025-06-01 00:00:10,15.1,14.2,16.8,14.4,49.1,-6.84,13.99
2025-06-01 00:00:15,14.9,12.0,13.7,15.0,52.0,-8.83,7.99
2025-06-01 00:00:20,10.4,9.7,14.6,10.9,51.3,-5.53,10.63
2025-06-01 00:00:25,16.5,12.2,13.4,16.5,50.1,2.01,4.5
2025-06-01 00:00:30,15.3,13.0,14.5,15.0,52.3,12.19,6.07
2025-06-01 00:00:35,13.5,12.1,11.5,14.1,49.0,6.17,2.9
2025-06-01 00:00:40,14.7,16.0,17.3,14.4,50.8,-4.88,-5.18
2025-06-01 00:00:45,14.9,16.0,13.2,15.3,50.1,0.47,-9.53
2025-06-01 00:00:50,17.7,14.5,17.7,9.4,53.2,10.58,-2.3
2025-06-01 00:00:55,12.6,8.5,12.0,13.1,51.9,9.5,-8.57
2025-06-01 00:01:00,14.2,17.0,15.9,14.1,50.9,0.75,4.49
2025-06-01 00:01:05,14.0,14.8,14.6,12.5,54.4,1.55,7.02
2025-06-01 00:01:10,10.4,8.1,10.1,10.2,52.5,-1.43,-1.66
2025-06-01 00:01:15,15.7,12.3,12.5,11.8,53.3,-19.1,-3.52
2025-06-01 00:01:20,20.9,15.6,16.6,15.9,52.6,-5.12,11.81
2025-06-01 00:01:25,17.6,14.2,18.9,13.3,54.0,4.52,12.53
2025-06-01 00:01:30,13.5,14.8,13.6,11.5,50.5,-4.37,-7.61
2025-06-01 00:01:35,12.3,17.3,12.6,13.5,53.4,2.98,-13.39
2025-06-01 00:01:40,17.0,11.2,14.8,14.9,53.0,11.25,-10.15
2025-06-01 00:01:45,12.9,12.4,12.3,12.5,49.9,-0.44,1.75
2025-06-01 00:01:50,12.4,17.5,14.7,11.4,53.1,9.71,-10.06
2025-06-01 00:01:55,16.0,12.1,15.6,14.5,54.1,2.68,12.04
2025-06-01 00:02:00,11.2,10.9,11.1,12.5,52.0,3.31,7.18
2025-06-01 00:02:05,12.9,15.8,12.4,18.3,54.2,0.5,-4.68
2025-06-01 00:02:10,16.6,15.2,17.1,16.6,50.4,2.59,-2.91
2025-06-01 00:02:15,10.1,12.7,11.4,8.5,49.5,6.05,1.29
2025-06-01 00:02:20,11.6,11.4,9.0,12.0,50.7,8.01,5.12
2025-06-01 00:02:25,10.9,11.8,14.7,14.7,54.6,3.13,35.72
2025-06-01 00:02:30,18.2,17.8,17.2,15.3,53.6,9.12,-2.22
2025-06-01 00:02:35,14.4,15.5,20.0,11.6,52.0,8.39,-16.97
2025-06-01 00:02:40,14.0,11.9,9.6,10.3,51.6,5.97,-10.81
