time,heart_rate,spo2,sleep_quality,steps,calories,activity,status
2025-06-01 00:00:00,100.6,100.0,0,0,0.0768,静息,2
2025-06-01 00:00:05,96.8,99.9,0,0,0.0755,静息,2
2025-06-01 00:00:10,93.3,99.9,0,0,0.0757,静息,2
2025-06-01 00:00:15,94.7,99.9,0,0,0.0765,静息,2
2025-06-01 00:00:20,94.9,99.9,0,0,0.0773,静息,2
2025-06-01 00:00:25,95.2,100.0,0,0,0.0754,静息,2
2025-06-01 00:00:30,95.7,100.1,0,0,0.0763,静息,2
2025-06-01 00:00:35,95.7,100.1,0,0,0.0755,静息,2
2025-06-01 00:00:40,97.6,100.0,0,0,0.0769,静息,2
2025-06-01 00:00:45,94.5,100.1,0,0,0.0763,静息,2
2025-06-01 00:00:50,94.4,100.2,0,0,0.0769,静息,2
2025-06-01 00:00:55,95.2,100.2,0,0,0.0772,静息,2
2025-06-01 00:01:00,96.6,100.0,0,0,0.0754,静息,2
2025-06-01 00:01:05,94.6,100.1,0,0,0.0762,静息,2
2025-06-01 00:01:10,96.5,100.0,0,0,0.0769,静息,2
2025-06-01 00:01:15,96.0,99.8,0,0,0.0765,静息,2
2025-06-01 00:01:20,94.9,99.8,0,0,0.076,静息,2
2025-06-01 00:01:25,96.7,100.2,0,0,0.0764,静息,2
2025-06-01 00:01:30,95.2,100.3,0,0,0.0766,静息,2
2025-06-01 00:01:35,96.2,100.2,0,0,0.076,静息,2
2025-06-01 00:01:40,92.6,100.3,0,0,0.0761,静息,2
2025-06-01 00:01:45,93.2,99.9,0,0,0.0766,静息,2
2025-06-01 00:01:50,98.9,99.9,0,0,0.0758,静息,2
2025-06-01 00:01:55,97.7,99.9,0,0,0.0768,静息,2
2025-06-01 00:02:00,94.9,100.1,0,0,0.0766,静息,2
2025-06-01 00:02:05,99.7,100.0,0,0,0.0766,静息,2
2025-06-01 00:02:10,98.7,100.0,0,0,0.076,静息,2
2025-06-01 00:02:15,95.8,100.3,0,0,0.076,静息,2
2025-06-01 00:02:20,95.5,100.0,0,0,0.0768,静息,2
2025-06-01 00:02:25,98.5,100.2,0,0,0.076,静息,2
2025-06-01 00:02:30,97.1,100.0,0,0,0.0764,静息,2
2025-06-01 00:02:35,94.6,100.0,0,0,0.0758,静息,2
2025-06-01 00:02:40,96.3,99.9,0,0,0.0758,静息,2
2025-06-01 00:02:45,93.7,100.2,0,0,0.0759,静息,2
2025-06-01 00:02:50,97.5,100.4,0,0,0.077,静息,2
2025-06-01 00:02:55,95.0,100.0,0,0,0.0763,静息,2
2025-06-01 00:03:00,97.2,100.0,0,0,0.0756,静息,2
2025-06-01 00:03:05,95.4,99.9,0,0,0.0768,静息,2
2025-06-01 00:03:10,100.2,99.9,0,0,0.0767,静息,2
2025-06-01 00:03:15,94.2,100.0,0,0,0.0764,静息,2
2025-06-01 00:03:20,95.8,99.8,0,0,0.0761,静息,2
2025-06-01 00:03:25,100.6,100.0,0,0,0.0769,静息,2
2025-06-01 00:03:30,96.0,100.1,0,0,0.0768,静息,2
2025-06-01 00:03:35,95.1,99.6,0,0,0.0758,静息,2
2025-06-01 00:03:40,97.4,100.0,0,0,0.0757,静息,2
2025-06-01 00:03:45,96.3,99.9,0,0,0.0761,静息,2
2025-06-01 00:03:50,98.6,100.1,0,0,0.0758,静息,2
2025-06-01 00:03:55,94.6,100.0,0,0,0.0761,静息,2
2025-06-01 00:04:00,96.0,100.0,0,0,0.0761,静息,2
2025-06-01 00:04:05,94.5,100.1,0,0,0.0761,静息,2
2025-06-01 00:04:10,99.0,100.0,0,0,0.0761,静息,2
2025-06-01 00:04:15,97.3,100.1,0,0,0.0768,静息,2
2025-06-01 00:04:20,96.6,100.0,0,0,0.0763,静息,2
