time,heart_rate,spo2,sleep_quality,steps,calories,activity,status
2025-06-01 00:00:00,71.9,95.0,0,0,0.0723,静息,0
2025-06-01 00:00:05,69.9,95.0,0,0,0.0713,静息,0
2025-06-01 00:00:10,68.4,94.8,0,0,0.071,静息,0
2025-06-01 00:00:15,69.4,95.0,0,0,0.0714,静息,0
2025-06-01 00:00:20,68.9,95.0,0,0,0.0709,静息,0
2025-06-01 00:00:25,69.7,94.9,0,0,0.0724,静息,0
2025-06-01 00:00:30,69.2,95.0,0,0,0.0716,静息,0
2025-06-01 00:00:35,68.8,95.1,0,0,0.0716,静息,0
2025-06-01 00:00:40,70.0,94.8,0,0,0.0713,静息,0
2025-06-01 00:00:45,70.7,94.9,0,0,0.0713,静息,0
2025-06-01 00:00:50,70.8,95.2,0,0,0.0711,静息,0
2025-06-01 00:00:55,70.6,95.0,0,0,0.0714,静息,0
2025-06-01 00:01:00,69.0,95.2,0,0,0.0715,静息,0
2025-06-01 00:01:05,70.7,95.0,0,0,0.0723,静息,0
2025-06-01 00:01:10,71.8,94.8,0,0,0.0716,静息,0
2025-06-01 00:01:15,70.3,94.8,0,0,0.0717,静息,0
2025-06-01 00:01:20,69.9,94.9,0,0,0.072,静息,0
2025-06-01 00:01:25,69.8,95.1,0,0,0.072,静息,0
2025-06-01 00:01:30,69.9,94.8,0,0,0.0717,静息,0
2025-06-01 00:01:35,70.3,94.8,0,0,0.0713,静息,0
2025-06-01 00:01:40,69.4,95.0,0,0,0.0725,静息,0
2025-06-01 00:01:45,70.5,94.8,0,0,0.0715,静息,0
2025-06-01 00:01:50,72.7,95.0,0,0,0.0715,静息,0
2025-06-01 00:01:55,71.3,95.2,0,0,0.0711,静息,0
2025-06-01 00:02:00,69.0,95.3,0,0,0.071,静息,0
2025-06-01 00:02:05,70.3,94.8,0,0,0.0715,静息,0
2025-06-01 00:02:10,70.6,95.1,0,0,0.0711,静息,0
2025-06-01 00:02:15,71.0,94.9,0,0,0.0722,静息,0
2025-06-01 00:02:20,70.3,95.1,0,0,0.0709,静息,0
2025-06-01 00:02:25,70.6,95.1,0,0,0.0717,静息,0
2025-06-01 00:02:30,70.4,95.0,0,0,0.0724,静息,0
2025-06-01 00:02:35,69.1,95.0,0,0,0.0719,静息,0
2025-06-01 00:02:40,69.5,95.1,0,0,0.0719,静息,0
2025-06-01 00:02:45,70.2,94.8,0,0,0.0711,静息,0
2025-06-01 00:02:50,70.6,95.1,0,0,0.0715,静息,0
2025-06-01 00:02:55,70.1,95.3,0,0,0.0711,静息,0
2025-06-01 00:03:00,70.6,95.0,0,0,0.0717,静息,0
2025-06-01 00:03:05,69.4,94.8,0,0,0.0719,静息,0
2025-06-01 00:03:10,69.0,95.1,0,0,0.0711,静息,0
2025-06-01 00:03:15,70.3,94.9,0,0,0.0718,静息,0
2025-06-01 00:03:20,71.4,94.8,0,0,0.0718,静息,0
2025-06-01 00:03:25,70.8,95.4,0,0,0.0721,静息,0
2025-06-01 00:03:30,71.0,95.0,0,0,0.0711,静息,0
2025-06-01 00:03:35,69.7,95.2,0,0,0.0706,静息,0
2025-06-01 00:03:40,68.7,95.1,0,0,0.0715,静息,0
2025-06-01 00:03:45,69.4,95.0,0,0,0.0716,静息,0
2025-06-01 00:03:50,69.6,95.3,0,0,0.0705,静息,0
2025-06-01 00:03:55,69.6,95.0,0,0,0.0715,静息,0
2025-06-01 00:04:00,71.1,94.8,0,0,0.0713,静息,0
2025-06-01 00:04:05,71.9,94.9,0,0,0.072,静息,0
2025-06-01 00:04:10,71.5,94.8,0,0,0.0721,静息,0
2025-06-01 00:04:15,70.6,95.0,0,0,0.0715,静息,0
2025-06-01 00:04:20,68.9,94.8,0,0,0.0723,静息,0
2025-06-01 00:04:25,69.6,95.2,0,0,0.0708,静息,0
2025-06-01 00:04:30,70.3,94.9,0,0,0.0716,静息,0
2025-06-01 00:04:35,70.2,95.0,0,0,0.0718,静息,0
2025-06-01 00:04:40,69.1,95.0,0,0,0.0714,静息,0
2025-06-01 00:04:45,70.5,94.9,0,0,0.0713,静息,0
