time,heart_rate,spo2,sleep_quality,steps,calories,activity,status
2025-06-01 00:00:00,78.3,99.0,0,0,0.0852,静息,0
2025-06-01 00:00:05,76.3,99.0,0,0,0.0841,静息,0
2025-06-01 00:00:10,74.8,98.8,0,0,0.0839,静息,0
2025-06-01 00:00:15,75.9,99.0,0,0,0.0843,静息,0
2025-06-01 00:00:20,75.3,99.0,0,0,0.0838,静息,0
2025-06-01 00:00:25,76.2,98.9,0,0,0.0853,静息,0
2025-06-01 00:00:30,75.7,99.0,0,0,0.0845,静息,0
2025-06-01 00:00:35,75.2,99.1,0,0,0.0845,静息,0
2025-06-01 00:00:40,76.4,98.8,0,0,0.0841,静息,0
2025-06-01 00:00:45,77.2,98.9,0,0,0.0842,静息,0
2025-06-01 00:00:50,77.3,99.2,0,0,0.084,静息,0
2025-06-01 00:00:55,77.0,99.0,0,0,0.0843,静息,0
2025-06-01 00:01:00,75.4,99.2,0,0,0.0843,静息,0
2025-06-01 00:01:05,77.2,99.0,0,0,0.0851,静息,0
2025-06-01 00:01:10,78.3,98.8,0,0,0.0844,静息,0
2025-06-01 00:01:15,76.8,98.8,0,0,0.0846,静息,0
2025-06-01 00:01:20,76.3,98.9,0,0,0.0848,静息,0
2025-06-01 00:01:25,76.2,99.1,0,0,0.0849,静息,0
2025-06-01 00:01:30,76.3,98.8,0,0,0.0845,静息,0
2025-06-01 00:01:35,76.7,98.8,0,0,0.0842,静息,0
2025-06-01 00:01:40,75.9,99.0,0,0,0.0853,静息,0
2025-06-01 00:01:45,77.0,98.8,0,0,0.0844,静息,0
2025-06-01 00:01:50,79.2,99.0,0,0,0.0844,静息,0
2025-06-01 00:01:55,77.7,99.2,0,0,0.0839,静息,0
2025-06-01 00:02:00,75.4,99.3,0,0,0.0839,静息,0
2025-06-01 00:02:05,76.7,98.8,0,0,0.0844,静息,0
2025-06-01 00:02:10,77.1,99.1,0,0,0.084,静息,0
2025-06-01 00:02:15,77.5,98.9,0,0,0.085,静息,0
2025-06-01 00:02:20,76.7,99.1,0,0,0.0838,静息,0
2025-06-01 00:02:25,77.1,99.1,0,0,0.0845,静息,0
2025-06-01 00:02:30,76.8,99.0,0,0,0.0853,静息,0
2025-06-01 00:02:35,75.5,99.0,0,0,0.0848,静息,0
2025-06-01 00:02:40,76.0,99.1,0,0,0.0848,静息,0
2025-06-01 00:02:45,76.6,98.8,0,0,0.084,静息,0
2025-06-01 00:02:50,77.0,99.1,0,0,0.0844,静息,0
2025-06-01 00:02:55,76.6,99.3,0,0,0.0839,静息,0
2025-06-01 00:03:00,77.0,99.0,0,0,0.0846,静息,0
2025-06-01 00:03:05,75.8,98.8,0,0,0.0848,静息,0
2025-06-01 00:03:10,75.4,99.1,0,0,0.0839,静息,0
2025-06-01 00:03:15,76.7,98.9,0,0,0.0847,静息,0
2025-06-01 00:03:20,77.8,98.8,0,0,0.0846,静息,0
2025-06-01 00:03:25,77.2,99.4,0,0,0.0849,静息,0
2025-06-01 00:03:30,77.4,99.0,0,0,0.084,静息,0
2025-06-01 00:03:35,76.2,99.2,0,0,0.0834,静息,0
2025-06-01 00:03:40,75.1,99.1,0,0,0.0844,静息,0
2025-06-01 00:03:45,75.8,99.0,0,0,0.0845,静息,0
2025-06-01 00:03:50,76.0,99.3,0,0,0.0834,静息,0
2025-06-01 00:03:55,76.0,99.0,0,0,0.0843,静息,0
2025-06-01 00:04:00,77.6,98.8,0,0,0.0841,静息,0
2025-06-01 00:04:05,78.4,98.9,0,0,0.0848,静息,0
2025-06-01 00:04:10,77.9,98.8,0,0,0.085,静息,0
2025-06-01 00:04:15,77.0,99.0,0,0,0.0843,静息,0
2025-06-01 00:04:20,75.3,98.8,0,0,0.0852,静息,0
2025-06-01 00:04:25,76.1,99.2,0,0,0.0837,静息,0
2025-06-01 00:04:30,76.8,98.9,0,0,0.0845,静息,0
2025-06-01 00:04:35,76.6,99.0,0,0,0.0847,静息,0
2025-06-01 00:04:40,75.6,99.0,0,0,0.0843,静息,0
2025-06-01 00:04:45,77.0,98.9,0,0,0.0841,静息,0
2025-06-01 00:04:50,77.4,99.0,0,0,0.0848,静息,0
2025-06-01 00:04:55,77.5,99.0,0,0,0.0841,静息,0
2025-06-01 00:05:00,69.3,98.8,0,0,0.0845,睡眠,0
2025-06-01 00:05:05,69.1,98.8,0,0,0.0844,睡眠,0
2025-06-01 00:05:10,69.5,98.9,0,0,0.0842,睡眠,0
2025-06-01 00:05:15,68.9,98.8,0,0,0.0842,睡眠,0
2025-06-01 00:05:20,70.6,98.6,0,0,0.0845,睡眠,0
2025-06-01 00:05:25,69.3,98.9,0,0,0.0834,睡眠,0
2025-06-01 00:05:30,67.9,98.9,0,0,0.0835,睡眠,0
2025-06-01 00:05:35,69.0,98.7,0,0,0.084,睡眠,0
2025-06-01 00:05:40,68.1,98.8,0,0,0.0832,睡眠,0
2025-06-01 00:05:45,67.8,98.8,0,0,0.0846,睡眠,0
2025-06-01 00:05:50,68.5,98.7,0,0,0.0839,睡眠,0
2025-06-01 00:05:55,68.9,98.8,0,0,0.0846,睡眠,0
2025-06-01 00:06:00,69.0,98.8,0,0,0.084,睡眠,0
2025-06-01 00:06:05,68.7,98.7,0,0,0.0841,睡眠,0
2025-06-01 00:06:10,69.7,98.9,0,0,0.0843,睡眠,0
2025-06-01 00:06:15,70.8,98.6,0,0,0.0836,睡眠,0
2025-06-01 00:06:20,67.9,98.7,0,0,0.084,睡眠,0
2025-06-01 00:06:25,69.7,98.7,0,0,0.0841,睡眠,0
2025-06-01 00:06:30,70.3,98.9,0,0,0.083,睡眠,0
2025-06-01 00:06:35,68.6,98.8,0,0,0.0836,睡眠,0
2025-06-01 00:06:40,68.6,98.8,0,0,0.0833,睡眠,0
2025-06-01 00:06:45,68.7,98.9,0,0,0.0833,睡眠,0
2025-06-01 00:06:50,69.7,98.8,0,0,0.0847,睡眠,0
2025-06-01 00:06:55,69.8,99.0,0,0,0.0848,睡眠,0
2025-06-01 00:07:00,69.5,99.0,0,0,0.0834,睡眠,0
2025-06-01 00:07:05,69.7,98.5,0,0,0.0829,睡眠,0
2025-06-01 00:07:10,69.3,99.0,0,0,0.0847,睡眠,0
